Clus_Db,Venue Category_x,Venue
0,Dessert Shop,7
0,Bakery,6
0,Chinese Restaurant,6
0,Shopping Mall,6
0,Flea Market,5
0,Som Tum Restaurant,5
0,Steakhouse,5
0,Halal Restaurant,4
0,BBQ Joint,3
0,Clothing Store,3
0,Gym / Fitness Center,3
0,Mobile Phone Shop,3
0,Pub,3
0,Restaurant,3
0,Snack Place,3
0,Asian Restaurant,2
0,Department Store,2
0,Diner,2
0,Dive Bar,2
0,Electronics Store,2
0,Grocery Store,2
0,Hotel,2
0,Music Store,2
0,Paper / Office Supplies Store,2
0,Park,2
0,Pet Store,2
0,Pharmacy,2
0,Pizza Place,2
0,Ramen Restaurant,2
0,Seafood Restaurant,2
0,Soccer Field,2
0,Swiss Restaurant,2
0,Wine Bar,2
0,Auto Garage,1
0,Badminton Court,1
0,Bar,1
0,Botanical Garden,1
0,Bowling Alley,1
0,Breakfast Spot,1
0,Brewery,1
0,Buffet,1
0,Comic Shop,1
0,Donut Shop,1
0,Food Court,1
0,Food Service,1
0,French Restaurant,1
0,Furniture / Home Store,1
0,Gift Shop,1
0,Gym Pool,1
0,Japanese Curry Restaurant,1
0,Market,1
0,Massage Studio,1
0,Motorcycle Shop,1
0,Movie Theater,1
0,Multiplex,1
0,Museum,1
0,Shabu-Shabu Restaurant,1
0,Stadium,1
0,Sushi Restaurant,1
0,Vietnamese Restaurant,1
0,Warehouse Store,1
0,Water Park,1
0,Wings Joint,1
10,Noodle House,28
10,Convenience Store,16
10,Café,14
10,Thai Restaurant,11
10,Coffee Shop,10
10,Asian Restaurant,7
10,Dessert Shop,7
10,Japanese Restaurant,7
10,Supermarket,6
10,Bar,5
10,Som Tum Restaurant,5
10,Steakhouse,4
10,BBQ Joint,3
10,Bakery,3
10,Diner,3
10,Fast Food Restaurant,3
10,Gym / Fitness Center,3
10,Ice Cream Shop,3
10,Market,3
10,Restaurant,3
10,Seafood Restaurant,3
10,Shopping Mall,3
10,Soccer Field,3
10,Buffet,2
10,Chinese Restaurant,2
10,Clothing Store,2
10,Flea Market,2
10,Floating Market,2
10,Fried Chicken Joint,2
10,Grocery Store,2
10,History Museum,2
10,Hotpot Restaurant,2
10,Park,2
10,Ramen Restaurant,2
10,Spa,2
10,Sushi Restaurant,2
10,Arts & Crafts Store,1
10,Badminton Court,1
10,Beer Garden,1
10,Bookstore,1
10,Canal,1
10,Farmers Market,1
10,Gift Shop,1
10,Golf Course,1
10,Gym Pool,1
10,Italian Restaurant,1
10,Mobile Phone Shop,1
10,Paper / Office Supplies Store,1
10,Salad Place,1
10,Shabu-Shabu Restaurant,1
10,Snack Place,1
10,Theme Park Ride / Attraction,1
10,Veterinarian,1
3,Coffee Shop,19
3,Convenience Store,16
3,Hotel,9
3,Thai Restaurant,9
3,Fast Food Restaurant,8
3,Som Tum Restaurant,8
3,Food Court,6
3,Noodle House,5
3,Asian Restaurant,4
3,Flea Market,4
3,Gym / Fitness Center,4
3,Hotpot Restaurant,4
3,Restaurant,4
3,Vietnamese Restaurant,4
3,Bookstore,3
3,Café,3
3,Chinese Restaurant,3
3,Japanese Restaurant,3
3,Supermarket,3
3,Bar,2
3,Dessert Shop,2
3,Garden Center,2
3,Golf Course,2
3,Ice Cream Shop,2
3,Ramen Restaurant,2
3,Seafood Restaurant,2
3,Shabu-Shabu Restaurant,2
3,Steakhouse,2
3,Art Gallery,1
3,BBQ Joint,1
3,Badminton Court,1
3,Bakery,1
3,Beer Garden,1
3,Big Box Store,1
3,Burger Joint,1
3,Canal,1
3,Department Store,1
3,Dumpling Restaurant,1
3,Farmers Market,1
3,Food,1
3,Home Service,1
3,Korean Restaurant,1
3,Multiplex,1
3,Music Venue,1
3,Pet Café,1
3,Pool,1
3,Pub,1
3,Shopping Mall,1
3,Shopping Plaza,1
3,Soccer Stadium,1
3,Social Club,1
3,Sports Club,1
3,Stadium,1
3,Train Station,1
